driver,n,impacto_medio,probabilidad_media,novedad_media,riesgo_ixp_medio,pct_mexico,tendencias_pesadas,senales_debiles
D1 Reconfiguración comercial norteamericana,8,4.0,4.5,2.0,18.0,100.0,7,0
D3 Fragilidad de infraestructura crítica,6,3.83,4.5,2.33,17.3,100.0,3,0
D4 Erosión institucional y certidumbre jurídica,4,3.5,4.25,2.0,15.8,100.0,2,1
D2 Securitización de la relación México-EE. UU.,6,3.0,4.0,3.0,12.3,67.0,1,2
D5 Ecosistema informacional y cohesión social,5,2.8,3.8,2.8,10.8,60.0,1,1
D7 Riesgo físico-ambiental y gobernanza global,5,2.2,2.4,2.6,5.2,60.0,0,1
D6 Competencia geoeconómica y nuevas fronteras,9,1.78,2.44,3.33,4.9,22.0,1,5
